,title,price,type,beds,studio,baths,area,location,handover,payment,offplan,verified_plan,agent_plan
0,Vacant on Transfer | Fully Upgraded | Palm Views,"2,875,000",Apartment,2,,2,"1,183 sqft","Princess Tower, Dubai Marina, Dubai",,,,on 21st of April 2025,TruBroker™
1,Iconic Skyline | 3 Bedroom | 80/20 Payment Plan,"4,575,888",Apartment,3,,3,"1,990 sqft","Marina Cove, Dubai Marina, Dubai",Q4 2029,80/20,Off-Plan,on,
2,EXCLUSIVE | HIGH-FLOOR | PARTIAL SEA VIEW | FURNISHED,"1,230,000",Apartment,1,,1,989 sqft,"Marina 101, Dubai Marina, Dubai",,,,on 19th of April 2025,TruBroker™
3,High Floor | Vacant | Multiple Options,"3,300,000",Apartment,1,,2,771 sqft,"Marina Gate 2, Marina Gate, Dubai Marina, Dubai",,,,on 18th of April 2025,TruBroker™
4,Luxury 2 Bedroom Duplex | Vacant | Marina View,"3,480,000",Apartment,2,,3,"1,713 sqft","Cayan Tower, Dubai Marina, Dubai",,,,on 17th of April 2025,TruBroker™
5,VOT | Balcony | Marina View | Corner Unit,"1,850,000",Apartment,1,,2,832 sqft,"Silverene Tower B, Silverene, Dubai Marina, Dubai",,,,on 17th of April 2025,TruBroker™
6,Exclusive | Well Kept | High Floor,"1,750,000",Apartment,1,,1,"1,103 sqft","Marina Residence A, Marina Residence, Dubai Marina, Dubai",,,,on 17th of April 2025,
7,LOW FLOOR | GOLF VIEW | FURNISHED,"1,180,000",Apartment,1,,2,989 sqft,"Marina 101, Dubai Marina, Dubai",,,,on 16th of April 2025,TruBroker™
8,Vacant Now | Huge Terrace | Full View,"8,000,000",Apartment,3,,4,"3,194 sqft","Marina Tower, Dubai Marina, Dubai",,,,on 16th of April 2025,TruBroker™
9,Fully Furnished | Low Floor | Vacant,"1,390,000",Apartment,1,,2,863 sqft,"Mag 218 Tower, Dubai Marina, Dubai",,,,on 15th of April 2025,TruBroker™
10,Full Sea Views | Vacant Now | Furnished,"2,750,000",Apartment,2,,3,"1,298 sqft","DAMAC Heights, Dubai Marina, Dubai",,,,on 15th of April 2025,TruBroker™
11,Exclusive| Marina View| Vacant I Store in Basement,"2,800,000",Apartment,3,,4,"2,327 sqft","Trident Waterfront, Dubai Marina, Dubai",,,,on 14th of April 2025,TruBroker™
12,Exclusive | Upgraded Unit | Duplex,"3,700,000",Apartment,2,,3,"2,041 sqft","Paloma, Marina Promenade, Dubai Marina, Dubai",,,,on 14th of April 2025,
13,STUNNING SEA VIEWS | HIGH FLOOR 01 SERIES | TURN-KEY,"6,999,999",Apartment,3,,5,"1,808 sqft","Marina Gate 2, Marina Gate, Dubai Marina, Dubai",,,,on 12th of April 2025,TruBroker™
14,Golf Course Views | VOT | 3 Bedrooms + Maid,"4,200,000",Apartment,3,,4,"2,145 sqft","23 Marina, Dubai Marina, Dubai",,,,on 11th of April 2025,TruBroker™
15,Branded Residences | HighFloor | Vacant,"8,950,000",Apartment,3,,4,"2,131 sqft","Jumeirah Living Marina Gate, Marina Gate, Dubai Marina, Dubai",,,,on 11th of April 2025,TruBroker™
16,Private Jacuzzi | High Floor | Rare | Reformed,"4,249,000",Apartment,2,,2,"1,685 sqft","The Point, Dubai Marina, Dubai",,,,on 10th of April 2025,TruBroker™
17,Multiple Options I Best Location | Vacant,"1,725,000",Apartment,1,,2,821 sqft,"Sparkle Tower 3, Sparkle Towers, Dubai Marina, Dubai",,,,on 10th of April 2025,TruBroker™
18,Full Marina View | Vacant | Converted 3 Bed,"4,799,999",Apartment,2,,3,"1,767 sqft","LIV Residence, Dubai Marina, Dubai",,,,on 10th of April 2025,
19,Exclusive | Near Metro | Furnished | Good ROI,"1,050,000",Apartment,1,,2,731 sqft,"Dream Tower 1, Dream Towers, Dubai Marina, Dubai",,,,on 8th of April 2025,
20,New Listing | Full Views | Sea and Marina,"3,700,000",Apartment,2,,3,"1,667 sqft","Trident Grand Residence, Dubai Marina, Dubai",,,,on 7th of April 2025,TruBroker™
21,Marina View | Luxurious | Great Price,"570,000",Apartment,,Studio,1,80 sqft,"Ciel Tower, Dubai Marina, Dubai",Q3 2024,,Off-Plan,on,
22,Marina Views | Vacant | With Study,"3,199,999",Apartment,2,,3,"1,972 sqft","Trident Marinascape Oceanic Tower, Trident Marinascape, Dubai Marina, Dubai",,,,on 27th of March 2025,TruBroker™
23,Sea View |Upgraded and Fully Furnished| High ROI,"1,850,000",Apartment,2,,3,"1,490 sqft","DEC Tower 2, DEC Towers, Dubai Marina, Dubai",,,,on 18th of March 2025,
24,Sea View |Upgraded and Fully Furnished| High ROI,"1,850,000",Apartment,2,,3,"1,490 sqft","DEC Tower 2, DEC Towers, Dubai Marina, Dubai",,,,on 18th of March 2025,
25,Premium Amenities | Prime Location | Amazing View,"2,700,000",Apartment,,Studio,1,448 sqft,"Ciel Tower, Dubai Marina, Dubai",Q3 2024,,Off-Plan,on,TruBroker™
26,Palm View | Enquire Now | Payment Plan,"2,500,000",Apartment,2,,3,"1,074 sqft","Aeternitas Tower, Dubai Marina, Dubai",Q2 2027,40/60,Off-Plan,on,TruBroker™
27,1 BR | Fully Furnished | for Sale in Dubai Marina,"1,100,000",Apartment,1,,2,838 sqft,"Marina Pinnacle, Dubai Marina, Dubai",,,,,
28,Full Marina View | Great Layout | Unfurnished,"1,700,000",Apartment,1,,2,693 sqft,"Bay Central West, Bay Central, Dubai Marina, Dubai",,,,,
29,UPGRAGED Studio On Marina Walk | Near Beach,"770,000",Apartment,,Studio,1,329 sqft,"Manchester Tower, Dubai Marina, Dubai",,,,,TruBroker™
30,Hotel Unit | High Floor | Priced to sell,"775,000",Hotel Apartment,,Studio,1,415 sqft,"Millennium Place, Dubai Marina, Dubai",,,,,
31,Walk to The Beach | Amazing Terrace | Best Priced,"3,100,000",Apartment,2,,2,"1,913 sqft","Sparkle Tower 2, Sparkle Towers, Dubai Marina, Dubai",,,,,
32,Super upgraded | Vacant | Furnished,"3,800,000",Apartment,4,,4,"2,451 sqft","Horizon Tower, Dubai Marina, Dubai",,,,,TruBroker™
33,Luxury 2 Bedroom Apartment | Dubai Marina Sky Line,"3,461,124",Apartment,2,,3,"1,491 sqft","Pelagos by IGO, Dubai Marina, Dubai",,,Off-Plan,on,
34,Dubai Marina Skyline | Spacious And Luxury Design,"3,624,288",Apartment,2,,3,"1,526 sqft","Pelagos by IGO, Dubai Marina, Dubai",,,Off-Plan,on,
35,Fully Upgraded| Motivated Seller| Multiple Option,"8,950,000",Apartment,3,,4,"2,131 sqft","Jumeirah Living Marina Gate, Marina Gate, Dubai Marina, Dubai",,,,,
36,Community Views | Furnished | High Floor | JBR Marina,"1,800,000",Apartment,1,,1,709 sqft,"Sanibel Tower, Park Island, Dubai Marina, Dubai",,,,,TruBroker™
37,Best Deal | Prime Location | Next to Metro,"1,300,000",Apartment,1,,2,760 sqft,"Marina View Tower A, Marina View Tower, Dubai Marina, Dubai",,,,,TruBroker™
38,Own 1BHK in Dubai Marina – Kempinski Lifestyle !,"2,704,000",Apartment,1,,2,"1,176 sqft","Kempinski Marina Residences, Dubai Marina, Dubai",Q2 2028,55/45,Off-Plan,,
39,Stunning 1 Bedroom | Huge Balcony | Sea View,"1,500,000",Apartment,1,,2,923 sqft,"Princess Tower, Dubai Marina, Dubai",,,,,
40,Marina View | Spacious Balcony | Furnished,"1,839,000",Apartment,1,,2,919 sqft,"Orra Harbour Residences, Dubai Marina, Dubai",,,,,
41,Sunset Views Duplex I High Floor I Marina,"16,800,000",Apartment,4,,4,"3,762 sqft","Stella Maris, Dubai Marina, Dubai",,,,,TruBroker™
42,Full Sea View | Vacant | Fully Upgraded | 3+ Maids,"5,500,000",Apartment,3,,4,"1,742 sqft","5242 Tower 1, 5242 Towers, Dubai Marina, Dubai",,,,on 20th of April 2025,TruBroker™
43,Under Offer | Urgent Sale | Negotiable,"3,500,000",Apartment,2,,2,"1,759 sqft","Kempinski Marina Residences, Dubai Marina, Dubai",Q2 2028,55/45,Off-Plan,on,TruBroker™
44,FULL MARINA VIEW | FULLY FURNISED | READY TO MOVE,"5,200,000",Apartment,3,,4,"2,167 sqft","Trident Marinascape Avant Tower, Trident Marinascape, Dubai Marina, Dubai",,,,,
45,VACANT | HIGH FLOOR | LUXURIOUS FINISH,"3,500,000",Apartment,2,,2,"1,325 sqft","Marina Gate 1, Marina Gate, Dubai Marina, Dubai",,,,on 16th of April 2025,TruBroker™
46,Rented | Upgraded Interior | Partial Sea / Marina,"2,500,000",Apartment,1,,2,791 sqft,"Jumeirah Living Marina Gate, Marina Gate, Dubai Marina, Dubai",,,,on 20th of April 2025,TruBroker™
47,LARGEST UNIT | MARINA VIEW | UPGRADED | BRAND NEW,"3,270,983",Apartment,2,,3,"1,453 sqft","Orra Harbour Residences, Dubai Marina, Dubai",,,,,
48,Fully furnished 2BR | Close to Tram ! Rented,"1,600,000",Apartment,2,,2,759 sqft,"Marina Wharf II, Marina Wharf, Dubai Marina, Dubai",,,,,
49,FULL SEA VIEWS I MODERN LUXURY I VACANT,"5,500,000",Apartment,3,,4,"1,742 sqft","5242 Tower 1, 5242 Towers, Dubai Marina, Dubai",,,,on 10th of April 2025,TruBroker™
50,Vacant Now | Prime Location | EMAAR,"1,800,000",Apartment,1,,2,957 sqft,"Beauport, Marina Promenade, Dubai Marina, Dubai",,,,on 19th of April 2025,TruBroker™
51,BRAND NEW | HIGH-FLOOR | FULLY FURNISHED,"1,250,000",Apartment,1,,1,990 sqft,"Marina 101, Dubai Marina, Dubai",,,,on 12th of April 2025,TruBroker™
52,New Listing | Vacant on Transfer | Furnished,"2,400,000",Apartment,2,,2,"1,461 sqft","Al Sahab Tower 2, Al Sahab Tower, Dubai Marina, Dubai",,,,on 14th of April 2025,TruBroker™
53,EYE LEVEL FULL MARINA VIEW | VACANT NOW,"3,700,000",Apartment,2,,3,"1,497 sqft","Aurora, Marina Promenade, Dubai Marina, Dubai",,,,on 11th of April 2025,TruBroker™
54,Full Marina View I Best Price I Handover Soon,"2,600,000",Apartment,1,,1,746 sqft,"LIV Marina, Dubai Marina, Dubai",Q2 2025,40/60,Off-Plan,on,
55,Vacant | Full Sea View | View Today,"3,425,000",Apartment,2,,2,"1,137 sqft","5242 Tower 1, 5242 Towers, Dubai Marina, Dubai",,,,on 9th of April 2025,TruBroker™
