,title,price,type,beds,studio,baths,area,location,handover,payment,offplan,verified_plan,agent_plan
0,Luxurious 4 bedroom semi detached villa | The valley by Emaar,"4,791,888",Villa,4,,6,"3,694 sqft","Rivera, The Valley by Emaar, Dubai",Q4 2028,90/10,"Off-Plan
|
Initial Sale",on,TruBroker™
1,Rivera | 4BR Villa Near Amenities & River | Sustainable Living | 10% Down payment,"4,791,888",Villa,4,,6,"3,694 sqft","Rivera, The Valley by Emaar, Dubai",Q4 2028,90/10,"Off-Plan
|
Initial Sale",on,TruBroker™
2,Elevated Plot | B1 in Pristine Condition | VOT,"14,950,000",Villa,5,,5,"5,832 sqft","Esmeralda, Victory Heights, Dubai Sports City, Dubai",,,,on 21st of April 2025,TruBroker™
3,Contemporary Design | Open House Saturday,"3,350,000",Villa,2,,3,"1,690 sqft","The Springs 11, The Springs, Dubai",,,,on 21st of April 2025,TruBroker™
4,EXCLUSIVE 4BR + MAID | TWIN VILLA | PRIME LOCATION,"6,370,000",Villa,4,,6,"3,411 sqft","Aura, Tilal Al Ghaf, Dubai",,,,on 21st of April 2025,TruBroker™
5,Ideal Family Home | Serenely Located | C3 Extended,"8,300,000",Villa,5,,4,"4,000 sqft","Calida, Victory Heights, Dubai Sports City, Dubai",,,,on 21st of April 2025,TruBroker™
6,Best Value | Private Pool | Landscaped,"10,500,000",Villa,6,,6,"6,148 sqft","Aseel, Arabian Ranches, Dubai",,,,on 21st of April 2025,TruBroker™
7,Upgraded - Custom Mansion - Basement - Huge Plot,"35,000,000",Villa,6,,7,"9,500 sqft","Sanctuary Falls, Jumeirah Golf Estates, Dubai",,,,on 21st of April 2025,TruBroker™
8,Ground + 2 | All en-suite | 4+1 Rooms | Premium Cluster | 10% DP,"4,791,888",Villa,4,,6,"3,694 sqft","Rivera, The Valley by Emaar, Dubai",Q4 2028,90/10,"Off-Plan
|
Initial Sale",on,TruBroker™
9,Fully Upgraded C1 5 Bed | Pool | Quiet,"10,400,000",Villa,5,,5,"4,802 sqft","Esmeralda, Victory Heights, Dubai Sports City, Dubai",,,,on 21st of April 2025,TruBroker™
10,Spectacular Garden and Pool | Stylish Renovation,"13,950,000",Villa,5,,6,"5,127 sqft","Terra Nova, Arabian Ranches, Dubai",,,,on 21st of April 2025,TruBroker™
11,Exquisite Villa | 5 Bedrooms | Premium Community,"9,500,000",Villa,5,,6,"6,744 sqft","Esmeralda, Victory Heights, Dubai Sports City, Dubai",,,,on 20th of April 2025,TruBroker™
12,Beautiful Brand New Custom Villa | Do Not Miss Out,"16,750,000",Villa,5,,5,"8,147 sqft","Jumeirah Park Homes, Jumeirah Park, Dubai",,,,on 20th of April 2025,TruBroker™
13,District 2 | Next to Park | Central Location | 5BR,"11,725,000",Villa,5,,6,"4,689 sqft","District 2, Jumeirah Park, Dubai",,,,on 20th of April 2025,TruBroker™
14,Vastu | Semi-Detached | Mortgage Available,"3,700,000",Villa,3,,4,"2,845 sqft","The Pulse Beachfront, The Pulse, Residential District, Dubai South, Dubai",,,,on 20th of April 2025,TruBroker™
15,4 Beds | Next to Pool & Park | Corner Plot,"10,750,000",Villa,4,,3,"4,019 sqft","Deema, The Lakes, Dubai",,,,on 20th of April 2025,
16,3 Beds | Huge Plot | Priced to Sell,"6,100,000",Villa,3,,3,"5,257 sqft","Palma, Arabian Ranches 2, Dubai",,,,on 19th of April 2025,TruBroker™
17,Exclusive | Meticulously Renovated Home,"9,999,999",Villa,5,,4,"4,354 sqft","Rasha, Arabian Ranches 2, Dubai",,,,on 19th of April 2025,TruBroker™
18,Open House Saturday 19th April | Call to book,"3,250,000",Villa,3,,3,"1,384 sqft","Sun, Arabian Ranches 3, Dubai",,,,on 19th of April 2025,TruBroker™
19,Exclusive Listing | 5 Beds | A1 Mazaya,"6,750,000",Villa,5,,6,"3,600 sqft","Hacienda, The Villa, Dubai",,,,on 19th of April 2025,TruBroker™
20,Brand New | Ready to move in | Vacant,"2,300,000",Villa,3,,4,"2,052 sqft","Expo Golf Villas 6 (Greenviews 3), Expo Golf Villas, Emaar South, Dubai South, Dubai",,,,on 19th of April 2025,
21,Fully Upgraded | Corner Plot | Cul De Sac Location,"8,700,000",Villa,5,,6,"6,210 sqft","Green Community West, Green Community, Dubai",,,,on 19th of April 2025,TruBroker™
22,Turn your dream lifestyle into an elevated reality,"13,950,000",Villa,5,,5,"4,801 sqft","Esmeralda, Victory Heights, Dubai Sports City, Dubai",,,,on 19th of April 2025,TruBroker™
23,Watefront View | Last Unit | Single Row,"4,890,000",Villa,5,,5,"4,416 sqft","Rivana, The Valley by Emaar, Dubai",Q1 2027,90/10,Off-Plan,on,TruBroker™
24,Exclusive | Upgraded | Extended | 4 Beds,"8,499,990",Villa,4,,4,"5,200 sqft","The Ponderosa, The Villa, Dubai",,,,on 19th of April 2025,TruBroker™
25,Luxurious Semidetach Villa | Book Now 10% | Spacious Layout,"4,790,000",Villa,4,,7,"3,714 sqft","Rivera, The Valley by Emaar, Dubai",Q4 2028,90/10,"Off-Plan
|
Initial Sale",on,TruBroker™
26,FULL GOLF VIEW | TENANTED | GOLF LIVING,"11,150,000",Villa,5,,6,"5,542 sqft","Veneto, DAMAC Hills, Dubai",,,,on 19th of April 2025,
27,Fully Upgraded | A2 Mazaya | Corner Villa,"8,000,000",Villa,5,,4,"3,900 sqft","Hacienda, The Villa, Dubai",,,,on 18th of April 2025,TruBroker™
28,Fully Upgraded | 4 Bedrooms+Study| VOT,"8,200,000",Villa,4,,4,"4,293 sqft","The Ponderosa, The Villa, Dubai",,,,on 18th of April 2025,
29,Lake View | European Turnkey | Vastu,"19,500,000",Villa,5,,5,"5,000 sqft","The Meadows 7, The Meadows, Dubai",,,,on 18th of April 2025,TruBroker™
30,BRAND NEW | GENUINE LISTING | PHPP,"3,200,000",Villa,3,,4,"2,274 sqft","Bliss, Arabian Ranches 3, Dubai",,,,on 18th of April 2025,TruBroker™
31,Lofted ceiling | Vacant June | Superb condition,"9,250,000",Villa,4,,4,"4,354 sqft","Rosa, Arabian Ranches 2, Dubai",,,,on 18th of April 2025,TruBroker™
32,Full Lake View | Rare | Homely,"14,500,000",Villa,4,,4,"4,170 sqft","The Meadows 5, The Meadows, Dubai",,,,on 18th of April 2025,TruBroker™
33,VOT | Backing Park | Fully Upgraded,"8,999,950",Villa,5,,5,"8,050 sqft","Green Community West, Green Community, Dubai",,,,on 18th of April 2025,TruBroker™
34,Large 4 Bed | Vastu | Lowest Price | Vacant,"9,800,000",Villa,4,,5,"4,335 sqft","Legacy, Jumeirah Park, Dubai",,,,on 18th of April 2025,TruBroker™
35,Unique layout | Stunning upgrades throughout,"13,500,000",Villa,5,,5,"4,300 sqft","The Meadows 1, The Meadows, Dubai",,,,on 18th of April 2025,
36,One of a kind | 5 BR | Fire course | Exclusive,"47,750,000",Villa,5,,6,"9,550 sqft","Redwood Avenue, Jumeirah Golf Estates, Dubai",,,,on 18th of April 2025,TruBroker™
37,Modern Renovation | Single Row | VACANT,"4,950,000",Villa,4,,4,"2,689 sqft","Estella Village, Victory Heights, Dubai Sports City, Dubai",,,,on 18th of April 2025,
38,Fully Renovated Villa | Prime Location | Must See,"8,200,000",Villa,4,,4,"4,200 sqft","Bungalows Area, Green Community West, Green Community, Dubai",,,,on 18th of April 2025,TruBroker™
39,Rare Corner Plot | Quiet cul-de-sac | Vacant,"14,600,000",Villa,5,,6,"5,813 sqft","Sidra 3, Sidra Villas, Dubai Hills Estate, Dubai",,,,on 18th of April 2025,TruBroker™
40,Stunning 3Br Small w/ Pool | OPEN HOUSE SAT 12 April,"7,199,999",Villa,3,,4,"6,228 sqft","District 8, Jumeirah Park, Dubai",,,,on 18th of April 2025,
41,On the Lake / Fully Upgraded / Large Plot / VOT,"11,950,000",Villa,4,,5,"6,932 sqft","The Meadows 9, The Meadows, Dubai",,,,on 18th of April 2025,
42,Fully Upgraded | Lake View | 4 Bed | VOT,"11,950,000",Villa,4,,5,"4,099 sqft","The Meadows 9, The Meadows, Dubai",,,,on 18th of April 2025,
43,Area Specialist | Upgraded and Extended,"10,950,000",Villa,4,,3,"7,410 sqft","Saheel 1, Saheel, Arabian Ranches, Dubai",,,,on 18th of April 2025,TruBroker™
44,Area Specialist | Immaculate Condition,"5,100,000",Villa,2,,3,"3,400 sqft","Palmera 2, Palmera, Arabian Ranches, Dubai",,,,on 18th of April 2025,TruBroker™
45,EXCLUSIVE - Upgraded TH2 | Triple Aspect End Unit,"5,225,000",Villa,4,,4,"2,558 sqft","Oliva, Victory Heights, Dubai Sports City, Dubai",,,,on 18th of April 2025,TruBroker™
46,Ideal Location | Family Friendly | Serene | VOT,"3,600,000",Villa,3,,4,"2,015 sqft","Arabella 2, Arabella Townhouses, Mudon, Dubai",,,,on 17th of April 2025,TruBroker™
47,Single Row | Closed Kitchen | Live Suite,"6,400,000",Villa,4,,5,"3,411 sqft","Aura, Tilal Al Ghaf, Dubai",,,,on 17th of April 2025,
48,Exclusive | Green Belt Backing | Large Plot,"6,800,000",Villa,4,,5,"3,411 sqft","Aura, Tilal Al Ghaf, Dubai",,,,on 17th of April 2025,
49,4 Bedrooms | Type 6 | Backs Park,"10,950,000",Villa,4,,3,"4,100 sqft","Saheel 1, Saheel, Arabian Ranches, Dubai",,,,on 17th of April 2025,
50,Priced to Sell | Upgraded | VOT,"7,750,000",Villa,3,,3,"5,813 sqft","Saheel 1, Saheel, Arabian Ranches, Dubai",,,,on 17th of April 2025,TruBroker™
51,4Bedroom | Luxury Upgrades | One of a Kind,"9,500,000",Villa,4,,5,"4,116 sqft","Harmony 1, Harmony, Tilal Al Ghaf, Dubai",,,,on 17th of April 2025,TruBroker™
52,Large Corner | Park Facing | Upgraded | Exclusive,"17,000,000",Villa,5,,6,"5,436 sqft","District 2, Jumeirah Park, Dubai",,,,on 17th of April 2025,TruBroker™
53,Park View | Extended | Vacant,"17,750,000",Villa,4,,5,"5,600 sqft","Mediterranean Cluster, Jumeirah Islands, Dubai",,,,on 17th of April 2025,TruBroker™
54,Exclusive - Investment Opportunity - Full Golf View,"19,950,000",Villa,5,,5,"6,002 sqft","Flame Tree Ridge, Jumeirah Golf Estates, Dubai",,,,on 17th of April 2025,TruBroker™
