DATE,LOCATION,PRICE (AED),Type,Beds,BUILT-UP AREA,FLOOR
"18 Apr
2025","The Torch
Dubai Marina","1,680,000
Vacant at time of sale",Apartment,2,"1,258",39
"18 Apr
2025","Ocean Heights
Dubai Marina","1,865,582
Rented at time of sale",Apartment,1,"1,065",26
"18 Apr
2025","Marina Diamond 2
Dubai Marina
Marina Diamonds","1,200,000
Vacant at time of sale",Apartment,2,968,10
"18 Apr
2025","Vanguard by Frank Muller
Dubai Marina","1,301,561",Apartment,1,456,23
"18 Apr
2025","Vanguard by Frank Muller
Dubai Marina","1,067,888",Apartment,Studio,414,29
"18 Apr
2025","Princess Tower
Dubai Marina","2,150,000
Rented at time of sale",Apartment,2,"1,302",54
"18 Apr
2025","Bonaire Tower
Dubai Marina
Park Island","2,070,000
Vacant at time of sale",Apartment,2,"1,302",13
"18 Apr
2025","Sparkle Tower 2
Dubai Marina
Sparkle Towers","1,050,000
Vacant at time of sale",Apartment,Studio,473,5
"18 Apr
2025","Princess Tower
Dubai Marina","2,000,000
Rented at time of sale",Apartment,2,"1,300",60
"18 Apr
2025","Vida Residences Dubai Marina
Dubai Marina","5,700,000
Vacant at time of sale",Apartment,3,"1,649",21
"18 Apr
2025","Marina Gate 2
Dubai Marina
Marina Gate","2,365,000
Rented at time of sale",Apartment,1,762,37
"18 Apr
2025","Marina Diamond 4
Dubai Marina
Marina Diamonds","820,000
Vacant at time of sale",Apartment,1,754,4
"18 Apr
2025","Vanguard by Frank Muller
Dubai Marina","2,915,754",Apartment,2,"1,041",29
"18 Apr
2025","LIV Marina
Dubai Marina","3,100,000",Apartment,2,"1,056",18
"18 Apr
2025","The Torch
Dubai Marina","1,725,000
Vacant at time of sale",Apartment,2,"1,258",57
"18 Apr
2025","Vanguard by Frank Muller
Dubai Marina","1,532,888",Apartment,Studio,483,8
"18 Apr
2025","Vanguard by Frank Muller
Dubai Marina","2,167,888",Apartment,1,779,17
"18 Apr
2025","Attessa
Dubai Marina
Marina Promenade","1,900,000
Rented at time of sale",Apartment,1,"1,031",13
"18 Apr
2025","Princess Tower
Dubai Marina","1,823,000
Vacant at time of sale",Apartment,2,"1,314",9
"17 Apr
2025","Botanica Tower
Dubai Marina","1,500,000
Vacant at time of sale",Apartment,1,830,8
"17 Apr
2025","Six Senses Residences Dubai Marina
Dubai Marina","9,309,000",Apartment,3,"3,409",13
"17 Apr
2025","Time Place
Dubai Marina","2,200,000
Vacant at time of sale",Apartment,2,"1,259",28
"17 Apr
2025","Vanguard by Frank Muller
Dubai Marina","2,094,888",Apartment,1,779,25
