DATE,LOCATION,PRICE (AED),Type,Beds,BUILT-UP,PLOT,FLOOR
"17 Apr
2025","Beachfront Gates 2
Dubai South
Residential District
Beachfront Gates","1,678,634",Apartment,2,"1,243",-,5
"17 Apr
2025","Maldives 1
Dubailand
DAMAC Islands","2,341,000",Villa,4,"2,194","1,550",-
"17 Apr
2025","Creek Rise 2 Tower
Dubai Creek Harbour
Creek Rise","1,690,000
Rented at time of sale",Apartment,1,780,-,24
"17 Apr
2025","Alaya Gardens
Tilal Al Ghaf","10,950,000
Vacant at time of sale",Residential Plot,-,-,"6,028",-
"17 Apr
2025","City Walk Crestlane 2 Building B
Al Wasl
City Walk
City Walk Crestlane 2","2,671,000",Apartment,1,789,-,2
"17 Apr
2025","Creek Vistas Grande
Sobha Hartland","1,650,000
Vacant at time of sale",Apartment,1,775,-,14
"17 Apr
2025","Elva
The Valley by Emaar","3,853,701",Villa,4,"2,710","3,752",-
"17 Apr
2025","The Regent
Town Square","785,000",Apartment,1,583,-,6
"17 Apr
2025","City Walk Crestlane 3 Building B
Al Wasl
City Walk
City Walk Crestlane 3","16,726,000",Apartment,4,"4,588",-,Ground
"17 Apr
2025","Vita Residencia
Al Sufouh
Al Sufouh 1","1,570,000
Rented at time of sale",Apartment,1,"1,083",-,2
"17 Apr
2025","Hadley Heights
Jumeirah Village Circle (JVC)
JVC District 11","2,327,500",Apartment,2,"1,422",-,22
"17 Apr
2025","Sway Residences
Dubai Hills Estate","910,000
Rented at time of sale",Apartment,Studio,511,-,1
"17 Apr
2025","Cove Living Residence By Imtiaz
Dubai Land Residence Complex","673,454",Apartment,Studio,424,-,5
"17 Apr
2025","Bonds Avenue Residences
Dubai Islands","1,523,760",Apartment,1,842,-,2
"17 Apr
2025","Red Square Tower 2
Jumeirah Village Triangle (JVT)
JVT District 3
Red Square","527,732",Apartment,Studio,317,-,4
"17 Apr
2025","Binghatti Ghost
Al Jaddaf
Dubai Healthcare City Phase 2","825,000",Apartment,Studio,476,-,1
"17 Apr
2025","Malta
DAMAC Lagoons","2,450,000",Townhouse,4,"2,273","1,550",-
"17 Apr
2025","Al Marsoumy Building
International City
International City Phase 2 (Warsan 4)","646,000
Vacant at time of sale",Apartment,1,791,-,2
"17 Apr
2025","Bora Bora 2
Dubailand
DAMAC Islands","3,370,000",Villa,5,"3,164","2,616",-
"17 Apr
2025","Azizi Riviera 33
Meydan City
Meydan One
Azizi Riviera","612,000
Vacant at time of sale",Apartment,Studio,321,-,6
