,title,price,type,beds,studio,baths,area,location,handover,payment,offplan,verified_plan,agent_plan
0,PRIME LOCATION | VACANT | MODERN LAYOUT,"68,000",Apartment,1,,2,731 sqft,"AKA Residence, JVC District 11, Jumeirah Village Circle (JVC), Dubai",,,,on 21st of April 2025,TruBroker™
1,LUXURY 3 BED | HIGH FLOOR | FURNISHED | CORNER,"185,000",Apartment,3,,3,"1,474 sqft","Binghatti Crescent, JVC District 11, Jumeirah Village Circle (JVC), Dubai",,,,on 21st of April 2025,TruBroker™
2,LUXURY CHILLER FREE 2BHK | FULLY FURNISHED | VACANT UNIT,"89,999",Apartment,2,,3,"1,070 sqft","Azizi Plaza, Al Furjan, Dubai",,,,on 21st of April 2025,
3,BOTH MASTER ROOMS 2BHK | VACANT UNIT | CALL NOW,"79,999",Apartment,2,,3,910 sqft,"Azizi Plaza, Al Furjan, Dubai",,,,on 21st of April 2025,
4,Loft Type | Be the First Tenant | Miele Appliances,"105,000",Apartment,1,,2,830 sqft,"The Autograph, JVC District 10, Jumeirah Village Circle (JVC), Dubai",,,,on 21st of April 2025,TruBroker™
5,Marina View | Luxury Furnished | Multiple Cheque,"65,000",Apartment,,Studio,1,385 sqft,"Oxford Boulevard, JVC District 15, Jumeirah Village Circle (JVC), Dubai",,,,on 21st of April 2025,TruBroker™
6,Park View | All Day Light | Miele appliances,"110,000",Apartment,1,,2,789 sqft,"The Autograph, JVC District 10, Jumeirah Village Circle (JVC), Dubai",,,,on 21st of April 2025,TruBroker™
7,Supreme Quality| Negotiable| Best Amenities |Ready,"90,000",Apartment,1,,2,825 sqft,"Belgravia Square, JVC District 14, Jumeirah Village Circle (JVC), Dubai",,,,on 21st of April 2025,
8,High Floor | Pool View | Multiple Cheques,"55,000",Apartment,,Studio,1,474 sqft,"Oxford Residence 2, JVC District 10, Jumeirah Village Circle (JVC), Dubai",,,,on 21st of April 2025,TruBroker™
9,"2 B/R Apt with Central AC , Pool, Gym & Sauna","79,000",Apartment,2,,2,"1,500 sqft","Maj. General Juma Aman Obaid 3 Building, Al Nahda 1, Al Nahda (Dubai), Dubai",,,,on 21st of April 2025,
10,Studio | Fully Furnished | Upgraded | 12 Cheques,"60,000",Apartment,,Studio,1,408 sqft,"Beverly Residence, JVC District 13, Jumeirah Village Circle (JVC), Dubai",,,,on 21st of April 2025,TruBroker™
11,Exclusive | Sea And Skyline View | Fully Furnished,"230,000",Apartment,2,,2,"1,123 sqft","Address Harbour Point Tower 1, Address Harbour Point, Dubai Creek Harbour, Dubai",,,,on 21st of April 2025,
12,Fully Furnished | Upgraded unit | Ideal Location,"48,000",Apartment,,Studio,1,417 sqft,"Elite Sports Residence 6, Elite Sports Residence, Dubai Sports City, Dubai",,,,on 21st of April 2025,TruBroker™
