,title,price,type,beds,studio,baths,area,location,handover,payment,offplan,verified_plan,agent_plan
0,Large Balcony | Full Marina View | Ready to Occupy,"142,000",Apartment,1,,2,830 sqft,"Silverene Tower A, Silverene, Dubai Marina, Dubai",,,,on 21st of April 2025,
1,Unfurnished | High Floor | Spacious | Marina View,"130,000",Apartment,2,,2,"1,258 sqft","The Torch, Dubai Marina, Dubai",,,,on 21st of April 2025,
2,High Floor | Unfurnished | Ready to move,"360,000",Apartment,3,,4,"1,664 sqft","Vida Residences Dubai Marina, Dubai Marina, Dubai",,,,on 21st of April 2025,TruBroker™
3,Marina Facing | Separate Dining | Unique,"224,999",Apartment,2,,3,"1,374 sqft","DAMAC Heights, Dubai Marina, Dubai",,,,on 20th of April 2025,TruBroker™
4,2300 SIZE INCLUDING TERRACE| 2 BEDROOMS | VACANT,"170,000",Apartment,2,,3,"2,315 sqft","Delphine, Marina Promenade, Dubai Marina, Dubai",,,,on 19th of April 2025,TruBroker™
5,Full Marina View | High Floor | Furnished,"115,000",Apartment,1,,2,708 sqft,"Bay Central (Central Tower), Bay Central, Dubai Marina, Dubai",,,,on 19th of April 2025,TruBroker™
6,Spacious | High Floor | Marina View,"135,000",Apartment,2,,3,"1,821 sqft","Marina Sail, Dubai Marina, Dubai",,,,on 19th of April 2025,
7,Fully Furnished | Vacant | High Floor,"100,000",Apartment,1,,2,903 sqft,"Marina Sail, Dubai Marina, Dubai",,,,on 19th of April 2025,
8,Stylish 1-Bedroom Apartment in Marina Diamond 2,"90,000",Apartment,1,,1,572 sqft,"Marina Diamond 2, Marina Diamonds, Dubai Marina, Dubai",,,,on 19th of April 2025,
9,Furnished | Canal View | Modern | Chiller Free,"135,000",Apartment,1,,2,786 sqft,"The Point, Dubai Marina, Dubai",,,,on 18th of April 2025,TruBroker™
10,"FURNISHED WITH BILLS INCLUDED | OPPOSITE TO METRO , MARINA WALK","134,999",Apartment,1,,2,975 sqft,"Sukoon Tower, Dubai Marina, Dubai",,,,on 17th of April 2025,TruBroker™
11,UNFURNISHED | CHILLER FREE | KITCHEN APPLICIANCES INCLUDED | NEAR METRO,"99,999",Apartment,1,,2,756 sqft,"Bunyan Tower, Dubai Marina, Dubai",,,,on 17th of April 2025,TruBroker™
12,City View | Spacious | Fully Furnished,"190,000",Apartment,1,,1,943 sqft,"Jumeirah Living Marina Gate, Marina Gate, Dubai Marina, Dubai",,,,on 16th of April 2025,
13,Near to metro | Sami Furnished | size 1220 sqft,"124,998",Apartment,2,,3,"1,219 sqft","The Cascades, Dubai Marina, Dubai",,,,on 16th of April 2025,TruBroker™
14,2 bed penthouse | marina view | fully furnished,"165,000",Apartment,2,,3,"1,717 sqft","The Cascades, Dubai Marina, Dubai",,,,on 16th of April 2025,
15,Unfurnished | Vacant now | Best Layout,"110,000",Apartment,1,,2,722 sqft,"West Avenue, Dubai Marina, Dubai",,,,on 16th of April 2025,TruBroker™
16,Largest Layout | Marina View | 3 plus Maid,"239,999",Apartment,3,,4,"2,205 sqft","Al Sahab Tower 2, Al Sahab Tower, Dubai Marina, Dubai",,,,on 16th of April 2025,
17,Furnished | multiple cheques | One Bedroom Layout,"89,999",Apartment,,Studio,1,671 sqft,"DEC Tower 1, DEC Towers, Dubai Marina, Dubai",,,,on 15th of April 2025,
18,Amazing View | Fully Upgraded | Furnished,"214,990",Apartment,2,,3,"1,330 sqft","Elite Residence, Dubai Marina, Dubai",,,,on 14th of April 2025,TruBroker™
19,Unfurnished | Marina View | Chiller Free,"247,000",Apartment,2,,2,"1,715 sqft","Al Mesk Tower, Dubai Marina Towers, Dubai Marina, Dubai",,,,on 14th of April 2025,TruBroker™
20,FULLY FURNISHED | MARINA VIEW | NEGOTIABLE,"130,000",Apartment,1,,2,796 sqft,"Fairfield Tower, Park Island, Dubai Marina, Dubai",,,,on 13th of April 2025,TruBroker™
21,FURNISHED | HIGH FLOOR | NEAR TO METRO | VACANT |,"95,000",Apartment,1,,2,708 sqft,"Marina Diamond 5, Marina Diamonds, Dubai Marina, Dubai",,,,on 12th of April 2025,TruBroker™
22,Golf Course Views | VOT | 3 Bedrooms + Maid,"265,000",Apartment,3,,4,"2,145 sqft","23 Marina, Dubai Marina, Dubai",,,,on 11th of April 2025,TruBroker™
23,Upgraded | Fully Furnished | High Floor,"220,000",Apartment,3,,4,"2,013 sqft","Princess Tower, Dubai Marina, Dubai",,,,on 10th of April 2025,TruBroker™
24,Fully Furnished | Great Location | Marina View,"115,000",Apartment,1,,2,708 sqft,"Bay Central (Central Tower), Bay Central, Dubai Marina, Dubai",,,,on 10th of April 2025,TruBroker™
25,Chiller Free | Best Price | Close to JBR walk | 1 BR,"80,000",Apartment,1,,1,888 sqft,"Dorra Bay, Dubai Marina, Dubai",,,,on 10th of April 2025,
26,High Floor | Spacious Layout | Close to Tram,"105,000",Apartment,1,,2,960 sqft,"Elite Residence, Dubai Marina, Dubai",,,,on 9th of April 2025,TruBroker™
27,Studio | Partial Marina View | Huge Balcony,"56,000",Apartment,,Studio,1,518 sqft,"DEC Tower 2, DEC Towers, Dubai Marina, Dubai",,,,on 8th of April 2025,TruBroker™
28,Fully Renovated | Partial Marina View | Furnished,"90,000",Apartment,1,,2,539 sqft,"Marina View Tower A, Marina View Tower, Dubai Marina, Dubai",,,,on 8th of April 2025,TruBroker™
29,Available Now | Fully Furnished | Full Marina View,"135,000",Apartment,1,,2,786 sqft,"The Point, Dubai Marina, Dubai",,,,on 8th of April 2025,
30,Exclusive | Sea View | Luxury,"370,000",Apartment,3,,3,"2,619 sqft","Emirates Crown, Dubai Marina, Dubai",,,,on 7th of April 2025,TruBroker™
31,Stunning Marina View | Vacant | Chiller Free,"100,000",Apartment,1,,2,909 sqft,"Bonaire Tower, Park Island, Dubai Marina, Dubai",,,,on 7th of April 2025,
32,Full Marina View | High Floor | Chiller Free,"165,000",Apartment,1,,2,"1,053 sqft","DAMAC Heights, Dubai Marina, Dubai",,,,on 6th of April 2025,
33,Flexible Payment|| View Today || 2bedrooms || Huge Layout,"230,000",Apartment,2,,3,"1,452 sqft","Stella Maris, Dubai Marina, Dubai",,,,on 5th of April 2025,
34,FULLY UPGRADED | HIGH FLOOR | CHILLER FREE,"120,000",Apartment,1,,1,709 sqft,"Sanibel Tower, Park Island, Dubai Marina, Dubai",,,,on 4th of April 2025,
35,Exclusive | Vacant | Largest layout | High floor,"179,900",Apartment,1,,2,943 sqft,"Jumeirah Living Marina Gate, Marina Gate, Dubai Marina, Dubai",,,,on 4th of April 2025,TruBroker™
36,Chiller Free | Spacious | Vacant | Unfurnished,"199,900",Apartment,2,,2,"1,139 sqft","5242 Tower 2, 5242 Towers, Dubai Marina, Dubai",,,,on 4th of April 2025,TruBroker™
37,Spacious | Elegant | High-End Furnished| Palm View,"114,999",Apartment,1,,2,"1,073 sqft","Ocean Heights, Dubai Marina, Dubai",,,,on 4th of April 2025,TruBroker™
38,Luxury Living | Marina Views | Steps from the Beach,"119,999",Apartment,1,,2,865 sqft,"Sparkle Tower 1, Sparkle Towers, Dubai Marina, Dubai",,,,on 2nd of April 2025,
39,Vacant | Fully Furnished | Chiller Free,"110,000",Apartment,1,,2,909 sqft,"Bonaire Tower, Park Island, Dubai Marina, Dubai",,,,on 2nd of April 2025,TruBroker™
40,Brand New | Available April1st | Unfurnished,"220,000",Apartment,2,,3,"1,225 sqft","Vida Residences Dubai Marina, Dubai Marina, Dubai",,,,on 29th of March 2025,TruBroker™
41,Spacious | 1 BR Plus Study Room | Closed Kitchen,"90,000",Apartment,1,,1,"1,042 sqft","The Zen, Dubai Marina, Dubai",,,,on 28th of March 2025,TruBroker™
42,1 Cheque Only | High Floor | 5* Amenities,"190,000",Apartment,1,,2,943 sqft,"Jumeirah Living Marina Gate, Marina Gate, Dubai Marina, Dubai",,,,on 26th of March 2025,TruBroker™
43,Fully Furnished | Marina View | Ready to Move,"175,000",Apartment,1,,2,912 sqft,"Marina Star, Dubai Marina, Dubai",,,,on 25th of March 2025,TruBroker™
44,Fully Furnished | Modern Layout | Vacant,"99,000",Apartment,1,,2,712 sqft,"Studio One Tower, Dubai Marina, Dubai",,,,on 25th of March 2025,
45,Massive Layout | Vacant | Great Location,"135,000",Apartment,2,,2,"1,749 sqft","Azure, Dubai Marina, Dubai",,,,on 24th of March 2025,
46,Fully Furnished | Chiller Free | Spacious,"105,000",Apartment,1,,2,908 sqft,"Mag 218 Tower, Dubai Marina, Dubai",,,,,
47,full sea view 2 Bedroom with Maid room Largest Unit| Ready to move for rent,"195,000",Apartment,2,,4,"2,616 sqft","Emirates Crown, Dubai Marina, Dubai",,,,,TruBroker™
48,Partial Marina | Prime Location | Unfurnished,"135,000",Apartment,2,,3,"1,116 sqft","Bay Central West, Bay Central, Dubai Marina, Dubai",,,,,TruBroker™
49,High Floor | Ready To Move In | Large Layout,"165,000",Apartment,2,,2,"1,351 sqft","Al Sahab Tower 2, Al Sahab Tower, Dubai Marina, Dubai",,,,,
50,Marina View | Furnished/Unfurnished | Vacant,"185,000",Apartment,3,,4,"1,465 sqft","Bay Central West, Bay Central, Dubai Marina, Dubai",,,,,
51,High Floor | Chiller Free | Partial Marina View,"165,000",Apartment,2,,2,"1,258 sqft","The Torch, Dubai Marina, Dubai",,,,,TruBroker™
52,Study Room | Unfurnished | High Floor | Vacant,"195,000",Apartment,3,,4,"1,674 sqft","Ocean Heights, Dubai Marina, Dubai",,,,,
53,1Br Unit For Rent | Unfurnished | Dubai Marina,"125,000",Apartment,1,,2,950 sqft,"Trident Bayside, Dubai Marina, Dubai",,,,,
54,Bright and Spacious | Marina View | Vacant Now,"168,000",Apartment,2,,3,"1,463 sqft","Sanibel Tower, Park Island, Dubai Marina, Dubai",,,,,
55,PARTIAL MARINA VIEW | SPACIOUS | Flexible Payment,"114,000",Apartment,1,,2,"1,064 sqft","Marina Opal Tower, Dubai Marina, Dubai",,,,,
56,Prime Location - High Floor - Partial Marina & Sheikh Zayed Road View,"75,000",Apartment,,Studio,1,359 sqft,"Escan Marina Tower, Dubai Marina, Dubai",,,,,
57,High Floor Sea and Palm View | Prime Location,"135,000",Apartment,2,,3,"1,258 sqft","The Torch, Dubai Marina, Dubai",,,,,
58,2 Bedroom + 1 Maid | Marina View | Large Balcony,"190,000",Apartment,2,,4,"2,179 sqft","The Jewel Tower A, The Jewels, Dubai Marina, Dubai",,,,,
59,Luxury Furnished | Stunning The Palm and Sea Views | For Family,"290,000",Apartment,3,,3,"2,008 sqft","Princess Tower, Dubai Marina, Dubai",,,,,
60,Pool View | Balcony | Dubai Marina,"75,000",Apartment,1,,2,728 sqft,"Dream Tower 1, Dream Towers, Dubai Marina, Dubai",,,,,
61,Marina Views | Fully Upgraded | Corner Unit,"295,000",Apartment,3,,4,"2,001 sqft","Marina Tower, Dubai Marina, Dubai",,,,,TruBroker™
62,STUDIO | ADDRESS VIEW | NEAR BEACH | NEAR MARINA WALK,"58,000",Apartment,,Studio,1,359 sqft,"Escan Marina Tower, Dubai Marina, Dubai",,,,,
63,Un Furnished I Marina View | 2 BR @140K,"139,900",Apartment,2,,3,"1,760 sqft","Mag 218 Tower, Dubai Marina, Dubai",,,,,
64,2Bed + Maid | 3 Balcony | Sea View | New Furnitures | Mid Floor | Chiller Free |,"160,000",Apartment,2,,2,"1,648 sqft","Ocean Heights, Dubai Marina, Dubai",,,,,
65,Stunning Marina Views | Unfurnished | Vacant,"105,000",Apartment,1,,1,919 sqft,"Al Sahab Tower 1, Al Sahab Tower, Dubai Marina, Dubai",,,,,
66,CHILLER FREE | STUNNING MARINA VIEW | CLOSE METRO,"130,000",Apartment,2,,2,"1,406 sqft","ARY Marina View, Dubai Marina, Dubai",,,,,
67,Marina and Sea Views | Brand New | Smart Home,"95,000",Apartment,,Studio,1,507 sqft,"Marina Star, Dubai Marina, Dubai",,,,,
68,Full Sea View | Furnished | Vacant,"240,000",Apartment,2,,2,"1,352 sqft","DAMAC Heights, Dubai Marina, Dubai",,,,,
69,1 Bed with Storage | Mid Floor | Free Chiller,"115,000",Apartment,1,,1,841 sqft,"Al Majara 1, Al Majara, Dubai Marina, Dubai",,,,,
70,FULLY FURNISHED | VACANT SOON | POOL FACING,"160,000",Apartment,2,,2,830 sqft,"Studio One Tower, Dubai Marina, Dubai",,,,,
71,PRIME LOCATION | PRACTICAL AMENITIES | PANORAMIC DMC VIEWS | 2 BHK | OPEN FITTED KITCHEN,"120,000",Apartment,2,,3,"1,389 sqft","Sulafa Tower, Dubai Marina, Dubai",,,,,
72,Spacious | SZR View | Parking | Balcony,"100,000",Apartment,2,,2,982 sqft,"Marina Diamond 1, Marina Diamonds, Dubai Marina, Dubai",,,,,
73,Marina View | Furnished | No Early Termination Fee,"108,000",Apartment,1,,1,947 sqft,"Al Sahab Tower 1, Al Sahab Tower, Dubai Marina, Dubai",,,,,
74,Fully Furnished I Kitchen Equipped I Luxury Apartment,"78,000",Apartment,1,,2,891 sqft,"The Cascades, Dubai Marina, Dubai",,,,,
75,Specious Studio near Ain Dubai with All amenities only 55k,"55,000",Apartment,,Studio,1,490 sqft,"Marina First Tower, Dubai Marina, Dubai",,,,,
76,"2 Bedroom apartment | Spacious Living Rooms | Marina, Dubai","110,000",Apartment,2,,2,"1,400 sqft","Marina First Tower, Dubai Marina, Dubai",,,,,
77,Elegant 1 Bhk available in Marina,"75,000",Apartment,1,,2,850 sqft,"Marina First Tower, Dubai Marina, Dubai",,,,,
78,Fully Furnished 1 Bedroom with Full Marina View,"120,000",Apartment,1,,2,945 sqft,"Al Sahab Tower 2, Al Sahab Tower, Dubai Marina, Dubai",,,,,
79,Renovated | Furnished | VACANT,"145,000",Apartment,2,,2,"1,330 sqft","Elite Residence, Dubai Marina, Dubai",,,,,
80,High Floor | Sea Views and Marina View | Fully Furnished,"200,000",Apartment,2,,2,"1,135 sqft","5242 Tower 1, 5242 Towers, Dubai Marina, Dubai",,,,,
81,Furnished 1BR | Chiller Free | Sea and Marina View,"97,000",Apartment,1,,2,823 sqft,"DEC Tower 2, DEC Towers, Dubai Marina, Dubai",,,,,
82,Upgraded 2BR | Palm View | White Goods,"150,000",Apartment,2,,2,"1,258 sqft","The Torch, Dubai Marina, Dubai",,,,,
83,chiller free -ready to move -hot deal -unfurnished,"85,000",Apartment,1,,2,762 sqft,"Marina Pinnacle, Dubai Marina, Dubai",,,,on 21st of April 2025,TruBroker™
84,Pool View- Kitchen Appliances- Ready to Move,"99,999",Apartment,1,,2,595 sqft,"Silverene Tower B, Silverene, Dubai Marina, Dubai",,,,,
85,Fully Furnished | Vacant | Prime Location,"80,000",Apartment,1,,1,647 sqft,"Marina Diamond 2, Marina Diamonds, Dubai Marina, Dubai",,,,on 17th of April 2025,TruBroker™
86,Fully Furnished | Move In Ready | Prime Location,"145,000",Apartment,2,,3,"1,329 sqft","Elite Residence, Dubai Marina, Dubai",,,,,
87,Marina Views | Fully Furnished | Large 1 Bedroom,"115,000",Apartment,1,,2,"1,073 sqft","The Jewel Tower B, The Jewels, Dubai Marina, Dubai",,,,,
88,Marina View | Upgraded | Full Glass Windows,"99,999",Apartment,1,,2,844 sqft,"Mag 218 Tower, Dubai Marina, Dubai",,,,,
89,Marina View | Vacant | View Now,"270,000",Apartment,3,,3,"1,767 sqft","No. 9, Dubai Marina, Dubai",,,,,
90,Fully furnished 2 bed full Sea view | 2 parkings,"149,000",Apartment,2,,3,"1,185 sqft","Princess Tower, Dubai Marina, Dubai",,,,on 2nd of April 2025,TruBroker™
91,Stylish Studio with Balcony Marina View | Fully Furnished | Ready to Move,"65,000",Apartment,,Studio,1,427 sqft,"Marina Diamond 3, Marina Diamonds, Dubai Marina, Dubai",,,,,
92,BRAND NEW / FULLY UPGRADED / SEA VIEW / WITH BALCONY /,"80,000",Apartment,1,,2,837 sqft,"Escan Marina Tower, Dubai Marina, Dubai",,,,,
93,Fully Furnished | Upgraded Bathroom | Exclusive,"128,000",Apartment,1,,2,895 sqft,"Shemara, Marina Promenade, Dubai Marina, Dubai",,,,on 11th of April 2025,TruBroker™
94,Marina View | All Bills Included l Furnished,"150,000",Apartment,1,,2,755 sqft,"The Point, Dubai Marina, Dubai",,,,,
95,Stylish Gorgeous 3-BHK with Al Master Room Balcony,"375,000",Apartment,3,,4,"1,800 sqft","5242 Tower 2, 5242 Towers, Dubai Marina, Dubai",,,,,
96,Luxury Furnished | Prime Location| Huge and Bright | 1BR,"94,999",Apartment,1,,2,886 sqft,"Mag 218 Tower, Dubai Marina, Dubai",,,,on 11th of April 2025,
97,Elegant Mid-Rise with Panoramic Views Near Metro,"165,000",Apartment,2,,3,"1,717 sqft","The Cascades, Dubai Marina, Dubai",,,,,TruBroker™
98,Ready to Move In | Furnished | Fully Furnished,"110,000",Apartment,1,,2,864 sqft,"Princess Tower, Dubai Marina, Dubai",,,,,TruBroker™
99,Full Marina View | Furnished | Bills included,"120,000",Apartment,,Studio,1,540 sqft,"JW Marriott Hotel Marina, Dubai Marina, Dubai",,,,on 13th of April 2025,TruBroker™
100,"Spacious 2BHk with balcony, partially lake view for rent","100,000",Apartment,2,,2,"1,050 sqft","Manchester Tower, Dubai Marina, Dubai",,,,,
101,Huge Layout - Sea View - Deluxe 1BHK with Balcony - All bills included-Negotiable - No Commission - Fully Serviced,"167,999",Apartment,1,,2,"1,074 sqft","Barcelo Residences, Dubai Marina, Dubai",,,,on 18th of April 2025,
102,Spacious | Sea View | All Bills Included,"145,000",Apartment,1,,2,861 sqft,"DAMAC Heights, Dubai Marina, Dubai",,,,,
103,Unfurnished 2 Bed With Partial Sea & Sheikh Zayed Road View.,"100,000",Apartment,2,,2,"1,050 sqft","Manchester Tower, Dubai Marina, Dubai",,,,,
104,Ready to Move In | Fully Furnished | Spacious,"350,000",Apartment,3,,4,"1,758 sqft","5242 Tower 1, 5242 Towers, Dubai Marina, Dubai",,,,on 9th of April 2025,TruBroker™
105,LUXURY | CHILLER FREE | PARTIAL SEA VIEW,"170,000",Apartment,2,,2,"1,258 sqft","The Torch, Dubai Marina, Dubai",,,,,
