,title,price,type,beds,studio,baths,area,location,handover,payment,offplan,verified_plan,agent_plan
0,| 60%-70% Capital Appreciation | Lush Greenery | Modern Elegant 4BR |,"4,850,000",Townhouse,4,,5,"3,700 sqft","Rivera, The Valley by Emaar, Dubai",Q4 2028,90/10,"Off-Plan
|
Initial Sale",on,TruBroker™
1,Single Row | Vacant on Transfer | Landscaped,"2,600,000",Townhouse,3,,3,"2,239 sqft","Hayat Townhouses, Town Square, Dubai",,,,on 21st of April 2025,
2,VACANT | PRIME LOCATION | CALL TO ACTION,"3,850,000",Townhouse,4,,5,"2,507 sqft","La Rosa 6, La Rosa, Villanova, Dubailand, Dubai",,,,on 21st of April 2025,
3,Prime Location | Corner Unit | 2 years PHPP,"3,500,000",Townhouse,3,,4,"2,240 sqft","Bliss, Arabian Ranches 3, Dubai",,,,on 19th of April 2025,TruBroker™
4,Biggest Corner Plot | Motivated Seller | VOT,"4,450,000",Townhouse,4,,4,"2,432 sqft","Sun, Arabian Ranches 3, Dubai",,,,on 19th of April 2025,TruBroker™
5,Type J | Single Row | Vacant July | Prime Location,"3,300,000",Townhouse,3,,4,"3,276 sqft","Mira Oasis 1, Mira Oasis, Reem, Dubai",,,,on 19th of April 2025,TruBroker™
6,Genuine Resale | Hot Deal | Waterfront View | Single Row,"2,680,000",Townhouse,3,,3,"2,347 sqft","Nima, The Valley by Emaar, Dubai",Q3 2027,90/10,Off-Plan,on,TruBroker™
7,Viewable | Full Park View | Huge Plot,"3,400,000",Townhouse,4,,5,"1,915 sqft","Park Residences 1, DAMAC Hills, Dubai",,,,on 19th of April 2025,TruBroker™
8,Vastu NE | Vacant | Type 2M | Back To Back,"3,300,000",Townhouse,3,,4,"2,507 sqft","Mira 3, Mira, Reem, Dubai",,,,on 19th of April 2025,TruBroker™
9,2 % DLD waiver | Modern Luxuries and the Beauty of Nature,"1,956,000",Townhouse,4,,4,"2,352 sqft","Violet 3, DAMAC Hills 2 (Akoya by DAMAC), Dubai",Q2 2027,60/40,Off-Plan,on,TruBroker™
10,Pool Backing | Rare 1M | Upgraded,"5,700,000",Townhouse,3,,3,"2,745 sqft","Al Reem 3, Al Reem, Arabian Ranches, Dubai",,,,on 18th of April 2025,
11,On Wadi | Motivated Seller | Brand New,"3,500,000",Townhouse,3,,4,"2,274 sqft","Bliss, Arabian Ranches 3, Dubai",,,,on 18th of April 2025,TruBroker™
12,End Corner | Park Views | Unique THM Layout,"3,600,000",Townhouse,3,,5,"2,494 sqft","Topanga, The Park Villas, DAMAC Hills, Dubai",,,,on 18th of April 2025,TruBroker™
13,Single Row | Big Kitchen | Ready to Move In,"2,800,000",Townhouse,3,,4,"1,901 sqft","Talia, The Valley by Emaar, Dubai",,,,on 18th of April 2025,TruBroker™
