DATE,LOCATION,PRICE (AED),Type,Beds,BUILT-UP,PLOT,FLOOR
"18 Apr
2025","Maldives 1
Dubailand
DAMAC Islands","2,424,000",Villa,4,"2,194","1,550",-
"18 Apr
2025","Serenia District West Residence
Jumeirah Islands
Serenia District","2,344,000",Apartment,1,895,-,42
"18 Apr
2025","Ocean Heights
Dubai Marina","1,865,582
Rented at time of sale",Apartment,1,"1,065",-,26
"18 Apr
2025","Pacifica
DAMAC Hills 2 (Akoya by DAMAC)","1,700,000
Vacant at time of sale",Villa,3,"2,403","1,634",-
"18 Apr
2025","Skyhills Residence 2
Jumeirah Village Circle (JVC)
JVC District 18","2,028,868",Apartment,2,"1,288",-,27
"18 Apr
2025","Canal Front Residences 8
Al Wasl
Canal Front Residences","5,450,000
Vacant at time of sale",Apartment,2,"1,557",-,7
"18 Apr
2025","Siraj Tower
Arjan","875,000
Vacant at time of sale",Apartment,1,857,-,8
"18 Apr
2025","Marina Diamond 2
Dubai Marina
Marina Diamonds","1,200,000
Vacant at time of sale",Apartment,2,968,-,10
"18 Apr
2025","Parkwood Tower B
Dubai Hills Estate
Parkwood","1,869,888",Apartment,1,729,-,7
"18 Apr
2025","Warsan 3
Al Warsan","1,102,000
Vacant at time of sale",Villa,-,-,"5,005",-
"18 Apr
2025","Creek Crescent
Dubai Creek Harbour","2,805,000
Vacant at time of sale",Apartment,2,"1,053",-,14
"18 Apr
2025","Golden Mile 10
Palm Jumeirah
Golden Mile","5,700,000
Rented at time of sale",Apartment,3,"3,359",-,6
"18 Apr
2025","Azizi Star
Al Furjan","490,000
Vacant at time of sale",Hotel Apartment,Studio,377,-,12
"18 Apr
2025","Binghatti Skyrise Tower A
Business Bay
Binghatti Skyrise","1,795,624",Apartment,1,762,-,11
"18 Apr
2025","Hatimi Residences
Dubai Islands","2,275,000",Apartment,1,840,-,3
"18 Apr
2025","F-08
International City
China Cluster","443,000
Rented at time of sale",Apartment,1,721,-,2
"18 Apr
2025","Pacifica
DAMAC Hills 2 (Akoya by DAMAC)","1,650,000
Vacant at time of sale",Villa,3,"1,790","1,882",-
"18 Apr
2025","Bay Grove Residences C Building 11
Dubai Islands
Bay Grove Residences C","2,167,000",Apartment,1,867,-,13
"18 Apr
2025","Navitas Hotel and Residences
DAMAC Hills 2 (Akoya by DAMAC)","510,000
Rented at time of sale",Apartment,1,421,-,7
"18 Apr
2025","Cove Living Residence By Imtiaz
Dubai Land Residence Complex","739,933",Apartment,Studio,462,-,15
"18 Apr
2025","Parkwood Tower B
Dubai Hills Estate
Parkwood","2,827,888",Apartment,2,"1,071",-,7
"18 Apr
2025","Bay Grove Residences C Building 8
Dubai Islands
Bay Grove Residences C","4,422,000",Apartment,3,"2,104",-,Ground
"18 Apr
2025","Hartland Waves
Sobha Hartland","1,800,000
Vacant at time of sale",Apartment,2,851,-,22
"18 Apr
2025","Murjan 1
Jumeirah Beach Residence (JBR)
Murjan","2,000,000
Rented at time of sale",Apartment,2,"1,395",-,45
"18 Apr
2025","City Walk Crestlane 2 Building A
Al Wasl
City Walk
City Walk Crestlane 2","3,416,000",Apartment,2,"1,246",-,12
"18 Apr
2025","Bay Grove Residences C Building 10
Dubai Islands
Bay Grove Residences C","1,937,000",Apartment,1,866,-,1
"18 Apr
2025","Azizi Riviera 44
Meydan City
Meydan One
Azizi Riviera","980,000
Vacant at time of sale",Apartment,1,561,-,4
"18 Apr
2025","Bahar 6
Jumeirah Beach Residence (JBR)
Bahar","1,000,000
Rented at time of sale",Apartment,Studio,440,-,LP
"18 Apr
2025","Park Vista
Jumeirah Village Circle (JVC)
JVC District 13","1,077,000
Rented at time of sale",Apartment,1,809,-,4
"18 Apr
2025","Whispering Pines
Jumeirah Golf Estates","9,500,000
Vacant at time of sale",Villa,3,"4,007","3,846",-
"18 Apr
2025","Tierra Address Villas
The Oasis by Emaar","20,129,888",Villa,5,"10,311","10,333",-
"18 Apr
2025","Skyhills Residence 2
Jumeirah Village Circle (JVC)
JVC District 18","704,357",Apartment,Studio,415,-,17
"18 Apr
2025","Al Waha Residences
Expo City","6,300,000",Apartment,2,"2,520",-,Ground
"18 Apr
2025","Sidr Residences
Expo City","2,675,000",Apartment,2,"1,426",-,1
"18 Apr
2025","Botanica
Jumeirah Village Circle (JVC)
JVC District 13","900,000
Vacant at time of sale",Apartment,2,"1,181",-,4
"18 Apr
2025","Bali
Dubailand
DAMAC Islands","2,377,000",Villa,4,"2,194","1,550",-
"18 Apr
2025","Bay Grove Residences C Building 11
Dubai Islands
Bay Grove Residences C","2,014,000",Apartment,1,867,-,5
"18 Apr
2025","Burj Khalifa
Downtown Dubai","5,255,888
Vacant at time of sale",Apartment,1,"1,185",-,14
