START DATE,LOCATION,DURATION,Type,Beds,BEDS,AREA (SQFT),FLOOR
"1 Jun
2025","Dream Tower 2
Dubai Marina
Dream Towers","12 months
RENEWAL","65,000",Apartment,2,869,4
"1 Jun
2025","Al Majara 3
Dubai Marina
Al Majara","12 months
RENEWAL","110,000",Apartment,1,869,6
"30 May
2025","Dream Tower 2
Dubai Marina
Dream Towers","12 months
RENEWAL","57,600",Apartment,1,690,6
"27 May
2025","Zumurud Tower
Dubai Marina","12 months
RENEWAL","50,715",Apartment,Studio,429,8
"26 May
2025","Elite Residence
Dubai Marina","12 months
RENEWAL","110,000",Apartment,2,"1,329",28
"25 May
2025","Mag 218 Tower
Dubai Marina","12 months
RENEWAL","95,000",Apartment,1,864,10
"20 May
2025","Sulafa Tower
Dubai Marina","12 months
RENEWAL","160,000",Apartment,3,"1,509",21
"20 May
2025","Dream Tower 1
Dubai Marina
Dream Towers","12 months
RENEWAL","82,000",Apartment,2,"1,522",13
"20 May
2025","Marina Sail
Dubai Marina","12 months
NEW","95,000",Apartment,1,"1,097",8
"19 May
2025","Attessa
Dubai Marina
Marina Promenade","12 months
RENEWAL","105,000",Apartment,1,"1,376",2
"18 May
2025","5242 Tower 1
Dubai Marina
5242 Towers","12 months
RENEWAL","135,000",Apartment,1,784,3
"15 May
2025","Sparkle Tower 1
Dubai Marina
Sparkle Towers","12 months
NEW","210,000",Apartment,3,"1,870",22
"15 May
2025","DEC Tower 2
Dubai Marina
DEC Towers","12 months
NEW","129,900",Apartment,2,"1,491",24
"15 May
2025","Delphine
Dubai Marina
Marina Promenade","12 months
RENEWAL","165,000",Apartment,2,"1,331",12
"15 May
2025","DAMAC Heights
Dubai Marina","12 months
NEW","300,000",Apartment,3,"2,169",54
"15 May
2025","Bay Central (Central Tower)
Dubai Marina
Bay Central","36 months
RENEWAL","255,000",Apartment,1,638,14
"15 May
2025","Al Habtoor Tower
Dubai Marina","12 months
RENEWAL","140,000",Apartment,2,"1,294",16
"15 May
2025","Marina Crown
Dubai Marina","12 months
RENEWAL","85,000",Apartment,1,886,12
"15 May
2025","Stella Maris
Dubai Marina","12 months
RENEWAL","230,000",Apartment,2,"1,782",19
"15 May
2025","Marina Gate 2
Dubai Marina
Marina Gate","12 months
RENEWAL","145,000",Apartment,1,830,30
"15 May
2025","Sanibel Tower
Dubai Marina
Park Island","12 months
RENEWAL","127,500",Apartment,1,922,18
"15 May
2025","Al Fairooz Tower
Dubai Marina
Dubai Marina Towers","12 months
RENEWAL","240,000",Apartment,2,"1,522",13
"15 May
2025","Marina Quays North
Dubai Marina
Marina Quays","12 months
RENEWAL","110,000",Apartment,1,994,3
"15 May
2025","Dream Tower 1
Dubai Marina
Dream Towers","12 months
RENEWAL","62,100",Apartment,1,"1,197",23
"14 May
2025","Dream Tower 1
Dubai Marina
Dream Towers","12 months
RENEWAL","84,996",Apartment,2,"1,251",10
"13 May
2025","Studio One Tower
Dubai Marina","12 months
RENEWAL","108,000",Apartment,2,834,31
"10 May
2025","Dream Tower 2
Dubai Marina
Dream Towers","12 months
RENEWAL","53,500",Apartment,1,746,2
"10 May
2025","Sulafa Tower
Dubai Marina","12 months
RENEWAL","95,000",Apartment,2,"1,391",61
"8 May
2025","Al Majara 1
Dubai Marina
Al Majara","12 months
NEW","120,000",Apartment,1,929,21
"8 May
2025","No. 9
Dubai Marina","12 months
RENEWAL","244,400",Apartment,2,"1,205",15
"7 May
2025","Skyview Tower
Dubai Marina","12 months
RENEWAL","120,000",Apartment,1,"1,081",25
"7 May
2025","Paloma
Dubai Marina
Marina Promenade","12 months
RENEWAL","94,500",Apartment,1,891,32
"6 May
2025","Le Reve
Dubai Marina","12 months
RENEWAL","900,000",Apartment,4,"6,298",36
"6 May
2025","Mag 218 Tower
Dubai Marina","12 months
RENEWAL","73,000",Apartment,1,864,3
"6 May
2025","Marina Heights Tower
Dubai Marina","12 months
RENEWAL","124,817",Apartment,2,"1,293",25
"5 May
2025","Iris Blue
Dubai Marina","12 months
NEW","150,000",Apartment,2,"1,326",14
"5 May
2025","Marina Diamond 1
Dubai Marina
Marina Diamonds","6 months
RENEWAL","37,778",Apartment,1,789,10
"5 May
2025","The Royal Oceanic
Dubai Marina","12 months
RENEWAL","130,000",Apartment,2,"1,203",20
"5 May
2025","DEC Tower 1
Dubai Marina
DEC Towers","12 months
NEW","75,000",Apartment,1,823,13
"4 May
2025","LIV Residence
Dubai Marina","12 months
RENEWAL","195,000",Apartment,2,"1,395",14
"4 May
2025","Marina Quays West
Dubai Marina
Marina Quays","12 months
NEW","165,000",Apartment,2,"1,567",10
"4 May
2025","Azure
Dubai Marina","12 months
RENEWAL","100,375",Apartment,2,"1,758",1
"3 May
2025","Jumeirah Living Marina Gate
Dubai Marina
Marina Gate","5 months
RENEWAL","80,209",Apartment,2,"1,518",35
"1 May
2025","Emirates Crown
Dubai Marina","12 months
NEW","400,000",Apartment,3,"3,881",43
"1 May
2025","Atlantic Tower 2
Dubai Marina
The Atlantic","12 months
RENEWAL","90,000",Apartment,3,"2,810",16
"1 May
2025","Al Mass Tower
Dubai Marina
Dubai Marina Towers","12 months
RENEWAL","207,900",Apartment,3,"2,402",9
"1 May
2025","Sparkle Tower 1
Dubai Marina
Sparkle Towers","12 months
NEW","120,000",Apartment,1,865,14
"1 May
2025","Marina Tower
Dubai Marina","12 months
RENEWAL","250,000",Apartment,3,"1,854",9
